@relation 'Test relation'

@attribute class {ekonomi,bilişim,finans}
@attribute text string

@data

ekonomi,'  bili dal olmak kaynak sınır , bu karşılık insanoğlu ihtiyaç sonsuz olmak nedeniyle çeşitli soru yanıt aramak .  hareket ekonomi bili , sınır kaynak hangi mal ve hizmet ne kadar , nasıl ve  için üretmek gibi soru yanıt bulmak çalışmak bir bili dal .'
ekonomi,'  alıcı ve satıcı karar kendi çıkar gözetmek vermek .  , bir mal fiyat kadar o mal üretim maliyet de göz ön almak .  ürün birey ara nasıl bölüşmek soru .  faktör herbir bir piyasa ve bir fiyat var :'
ekonomi,'   :  , hizmet ve üretim faktör nisbi fiyat nasıl oluşmak , nasıl değişmek ve ne nasıl etkilemek incelemek .  ekonomi öz ; mal çeşit fiyat nasıl oluşmak incelemek .'
ekonomi,'   :  ekonomi toplam gelmek , toplam istihdam , toplam tüketim , toplam tasarruf , genel fiyat seviye gibi değişken ne etki alt olmak ve bun birbiri ile ilişki incelemek'
ekonomi,'  :  zaman acı ve üzüntü vermek , karşılamak ise zevk ve haz vermek bir duygu .      '
ekonomi,'  :  dolay veya doğrudan karşılamak , el tutulmak göz görmek her şe  demek .  :  an tüketmek şey demek .'
ekonomi,'  :  ihtiyaç karşılamak özellik demek .  mal ve hizmet bir ihtiyaç karşılamak için fayda .  :  gidermek nedeniyle mal ve hizmet atfetmek nispî önem .  mal kıymet olmak o fayda , kıt ve kalite olmak kaynaklanmak'
ekonomi,'  :  ihtiyaç gidermek için mal ve hizmet kullanmak demek .  :  gereksinim karşılamak mal ve hizmet orta çıkarmak , miktar ve fayda artırmak ekonomik mal kıtlık azaltmak demek .'
ekonomi,'  :  ekonomi insan bütün ihtiyaç karşılamak kadar mal ve hizmet üretmek kaynak bulunmak durum .'
ekonomi,'  kıtlık , insan seçi yapmak zor .  seçi yapmak zorunluluk , bazı şey el etmek için başka şey vazgeçmek gerekmek .'
ekonomi,'   :  el etmek için vazgeçmek zor kalınmak şey .    :  faktör miktar ve teknoloji sabit , bir toplum , üretmek ve üretmek mal demet ayıran sınır çizgi .'
ekonomi,'  olanak eğri şekil de görmek üzere başlangıç nokta ( orijin ) içbükey .  , mal üretim artırmak fırsat maliyet yükselmek demek .  :  mal veya faktör alıcı ve satıcı  konu  ile ilişki kurmak sağlamak her imkân .'
